title,director,cast,country,date_added,release_year,rating,listed_in,description,num_of_seasons
"Happy And",NULL,"Hee-Jin Lee, Hae-seong Kwon, Paul Stafford, Mi-ji Lee, Ik-tae Kim, Ki-hyeon Kim","South Korea","2016-12-15 00:00:00",2012,TV-14,"International TV Shows, Korean TV Shows, TV Dramas","This relatable relationship drama explores the real-life trials and joys of married life through the lens of 11 different wives.",1
"Happy Jail",NULL,NULL,NULL,"2019-08-14 00:00:00",2019,TV-MA,"Crime TV Shows, Docuseries","The Philippine jail known for a viral Michael Jackson dance video comes under the management of an ex-convict, sparking controversy and criticism.",1
"Happy Valley",NULL,"Sarah Lancashire, Siobhan Finneran, Charlie Murphy, James Norton, George Costigan, Karl Davies, Shane Zaza, Steve Pemberton, Joe Armstrong, Adam Long, Rick Warden, Rhys Connah, Katherine Kelly","United Kingdom","2016-03-16 00:00:00",2016,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","Yorkshire police sergeant Catherine Cawood pursues the man who assaulted her late daughter, unaware he is now part of a secret kidnapping plot.",2
Happy!,NULL,"Christopher Meloni, Lili Mirojnick, Glenn Wein, Patrick Fischler, Toby Jaffe, Ritchie Coster, Grant Morrison, Pavun Shetty, Medina Senghore, Patton Oswalt","United States","2020-03-27 00:00:00",2019,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies","A boozy ex-cop turned hit man thinks he's losing his marbles when a cartoon unicorn only he can see urges him to rescue a girl kidnapped by Santa.",2
Happyish,NULL,"Steve Coogan, Kathryn Hahn, Sawyer Shipman, Bradley Whitford","United States","2016-07-01 00:00:00",2015,TV-MA,"TV Comedies, TV Dramas","A middle-aged adman is shaken up by his new boss, a 25-year-old who advises him to "rebrand" himself. Is it possible, or is this as good as he'll get?",1
"Hardy Bucks",NULL,"Martin Maloney, Owen Colgan, Chris Tordoff, Peter Cassidy, Tom Kilgallon, Michael Salmon, Wayne Lynch, Tommy Miller",Ireland,"2019-01-11 00:00:00",2018,TV-MA,"TV Comedies","A circle of young men entertain vague ambitions involving quick cash, women and showbiz in this mockumentary on small-town Irish life in County Mayo.",4
"Harold Shipman - Driven to Kill",NULL,"Harold Shipman","United Kingdom","2019-02-01 00:00:00",2014,TV-14,"British TV Shows, Crime TV Shows, Docuseries","Interviews and dramatic reconstructions illuminate the twisted motivations and brazen crimes of serial killer and respected physician, Harold Shipman.",1
"Harry & Bunnie","Ah Loong",NULL,Malaysia,"2017-10-15 00:00:00",2017,TV-Y7,"Kids' TV, TV Comedies","A young wannabe magician and his mischievous stage rabbit battle and sabotage each other while putting on shows.",1
"Hart of Dixie",NULL,"Rachel Bilson, Jaime King, Cress Williams, Wilson Bethel, Scott Porter, Tim Matheson, Kaitlyn Black, Ross Philips","United States","2015-12-15 00:00:00",2014,TV-PG,"TV Comedies, TV Dramas","Fast-talking city girl Zoe Hart winds up patching up the locals of a tiny town in the Deep South when she inherits a medical practice in Alabama.",4
"Harvey Street Kids",NULL,"Lauren Lapkus, Stephanie Lemelin, Kelly McCreary, Atticus Shaffer, Danny Pudi, Grey Griffin, Utkarsh Ambudkar, Roger Craig Smith","United States","2020-01-10 00:00:00",2020,TV-Y7,"Kids' TV, TV Comedies","Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday.",4
"Hashoter Hatov",NULL,"Moshe Ivgy, Guy Loel, Yuval Semo, Yigal Adika, Avi Shnaidman, Vered Feldman, Liora Rivlin",Israel,"2018-12-28 00:00:00",2015,TV-MA,"Crime TV Shows, International TV Shows, TV Comedies","An honest – though overzealous – police officer strives to do good work while dealing with his bickering parents and incompetent coworkers.",1
Hasmukh,NULL,"Vir Das, Ranvir Shorey, Manoj Pahwa, Ravi Kishan, Raza Murad, Inaamulhaq, Suhail Nayyar, Amrita Bagchi",India,"2020-04-17 00:00:00",2020,TV-MA,"Crime TV Shows, International TV Shows, TV Comedies","A timid, small-town comedian's long-awaited big break takes a dark turn when he realizes committing murder is the only way to keep his onstage mojo.",1
"Hatchimals | Adventures in Hatchtopia",NULL,"Sam Vincent, Kira Tozer, Andrea Libman","United States","2019-07-01 00:00:00",2018,TV-Y,"Kids' TV","These fun-loving creatures hatch from their shells and spread friendship, laughter and life lessons in the land of Hatchtopia.",2
"Haters Back Off",NULL,"Colleen Ballinger, Angela Kinsey, Steve Little, Francesca Reale, Erik Stocklin, Matt Besser","United States","2017-10-20 00:00:00",2017,TV-PG,"TV Comedies, Teen TV Shows","Determined to make it big, the confident but clueless Miranda Sings embarks on an unlikely quest for fame in this offbeat comedy.",2
"Hati Perempuan",NULL,"Saharul Ridzwan, Mia Ahmad, Hafreez Adam, Hafeez Mikhail, Nadzmi Adhwa, Bella Nazari",Indonesia,"2017-08-21 00:00:00",2015,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","Sparks of both passion and contempt fly when a self-sufficient architect is forced to work with a snobbish industrialist.",1
Haunted,NULL,NULL,"United States, Czech Republic","2019-10-11 00:00:00",2019,TV-MA,"Reality TV, TV Horror, TV Thrillers","Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments.",2
"Haunted House",NULL,"Jo Hyun-jung, Gim Young-eun, Gim Chae-ha, I So Eun, Choe Jae-ho",NULL,"2018-12-01 00:00:00",2017,TV-G,"Kids' TV, Korean TV Shows","With help from a 102-year-old goblin dwelling beneath their haunted apartment building, two siblings deal with ghosts and take on spooky mysteries.",1
"Have You Ever Fallen in Love, Miss Jiang?",NULL,"Lan Cheng-lung, Esther Yeh, He Yu-chen, Greg Han",NULL,"2017-08-01 00:00:00",2016,TV-14,"Crime TV Shows, International TV Shows, TV Dramas","A new teacher finds herself in an unenviable situation after witnessing a troubling interaction between an administrator and a student.",1
Haven,NULL,"Emily Rose, Lucas Bryant, Nicholas Campbell, Eric Balfour, Richard Donat, John Dunsworth, Maurice Dean Wint, Adam Copeland","Canada, United States","2015-09-08 00:00:00",2015,TV-14,"Classic & Cult TV, TV Horror, TV Mysteries","Residents of Haven, Maine, are plagued by supernatural afflictions. To reveal the truth, FBI agent Audrey Parker must delve into her own strange past.",5
"Headspace Guide to Meditation",NULL,"Andy Puddicombe","United States","2021-01-01 00:00:00",2021,TV-G,"Docuseries, Science & Nature TV","Headspace takes a friendly, animated look at the benefits of meditation while offering techniques and guided meditations to jump-start your practice.",1
"Heart & Soul",NULL,"Anthony Monjaro, Phoenix Ezendu, Ademola Amoo, Chioma Adibe, Ijeoma Richards, Joy Mmezi",NULL,"2020-11-20 00:00:00",2019,TV-14,"International TV Shows, TV Dramas","At a hospital in Lagos, a doctor yearning for more field experience meets patients with various ailments that test his spiritual and medical beliefs.",1
"Heartbreak High",NULL,"Callan Mulvey, Lara Cox, Emma Roche, Ada Nicodemou, Rel Hunt, Putu Winchester, Salvatore Coco, Barbara Gouskos, Ivar Kants, Stephen O'Rourke, Abi Tucker, Scott Major, Corey Page, Despina Caldis, Deni Gordon, Jon Pollard, Vince Poletto, Andrea Moor, Jeremy Lindsay Taylor, Doris Younane, Tony Martin, Sebastian Goldspink, Katherine Halliday, Marcel Bracks, Nina Liu, Morna Seres, Nathalie Roy, Rebecca Smart, Fleur Beaupert, Alex Dimitriades, Tina Bursill, Peter Sumner, Mario Gamma, Tai Nguyen, Inge Hornstra, Rupert Reid, John Walton, Nick Lathouris, Hugh Baldwin, Sarah Lambert, Jan Adele, Diane Craig, Ian Bliss, Alexandra Brunning, Kym Wilson, Isabella Gutierrez, Simon Baker",Australia,"2020-11-27 00:00:00",1999,TV-14,"International TV Shows, TV Dramas, Teen TV Shows","A crash course on the turbulence of being a teen is always on the schedule for the students at Hartley High School in this 1990s series set in Sydney.",7
Heartland,NULL,"Amber Marshall, Michelle Morgan, Graham Wardle, Shaun Johnston, Chris Potter, Jessica Amlee, Kerry James, Nathaniel Arcand",Canada,"2019-08-01 00:00:00",2017,TV-14,"TV Dramas","Spunky teenager Amy is reeling from the sudden death of her mother when she and her grandfather are threatened with the loss of their horse ranch.",11
"Heaven's Garden",NULL,"Bul-am Choi, Ho-Jeong Yoo, Sae-ron Kim, Chan-hee Kang, Woo-Sung Hyun, An Seo Hyun, Ho-Jin Kim","South Korea","2016-12-15 00:00:00",2011,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas","When her husband goes to jail for bankruptcy, a woman takes her two daughters to live with her father, who severed ties with her years ago.",1
"Heavy Rescue: 401",NULL,"Dave Pettitt",Canada,"2018-06-22 00:00:00",2018,TV-MA,"International TV Shows, Reality TV","In the harshest weather, rookie and veteran heavy recovery operators fight to keep southern Ontario's busy, treacherous highways clear and safe.",2
Heidi,NULL,"Monique Hore, Sophia Morrison, Peter McAllum, Nicole Shostak, Jamie Croft, Beth Armstrong, Kate Fitzpatrick, Penny Cook, Charlotte Hamlyn, Tess Meyer","France, Australia, Germany","2020-09-01 00:00:00",2020,TV-Y7,"Kids' TV","A plucky young orphan sent to live with her grandfather in the mountains discovers wonder and adventure around every corner.",1
"Heidi, bienvenida a casa",NULL,"Chiara Francia, Mercedes Lambre, Victorio D'Alessandro, Mario Guerci, Florencia Benítez, Victoria Ramos",Argentina,"2019-05-15 00:00:00",2017,TV-Y,"Kids' TV, Spanish-Language TV Shows","Inspired by the classic novel, this telenovela follows Heidi, who leaves her happy life in the mountains behind when her aunt takes her to the big city.",1
Helix,NULL,"Billy Campbell, Hiroyuki Sanada, Kyra Zagorsky, Mark Ghanimé, Meegwun Fairbrother, Jordan Hayes, Neil Napier, Matt Long, Severn Thompson, Jeri Ryan, Catherine Lemieux","United States, Canada","2018-11-10 00:00:00",2015,TV-MA,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy","While investigating a possible outbreak at an Arctic research facility, scientists discover a new virus that could wipe out every human on the planet.",1
"Hell on Wheels",NULL,"Anson Mount, Colm Meaney, Common, Dominique McElligott, Eddie Spears, Ben Esler, Phil Burke, Christopher Heyerdahl, Robin McLeavy, Tom Noonan","Canada, United Kingdom","2016-05-28 00:00:00",2016,TV-14,"Crime TV Shows, TV Action & Adventure","Former Confederate soldier Cullen Bohannon sets out on a quest to find his wife's killer as post-Civil War America struggles to rebuild its identity.",5
"Hello Ninja",NULL,"Lukas Engel, Zoey Siewert, Sam Vincent, Mayumi Yoshida","United States","2020-07-10 00:00:00",2020,TV-Y,"Kids' TV","BFFs Wesley and Georgie and their silly cat sidekick Pretzel transform into ninjas and enter a magic world, where they solve problems and save the day.",3
"Hello, My Twenties!",NULL,"Ye-ri Han, Seung-Yeon Han, Eun-bin Park, Hwa-young Ryu, Hye-soo Park","South Korea","2017-12-18 00:00:00",2017,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows","With different personalities, life goals and taste in men, five female college students become housemates in a shared residence called Belle Epoque.",2
"Hemlock Grove","Eli Roth","Famke Janssen, Landon Liboiron, Dougray Scott, Bill Skarsgård, Joel de la Fuente, Kaniehtiio Horn, Madeleine Martin, Michael Andreae, Penelope Mitchell, Freya Tingley, Laurie Fortier, Nicole Boivin, Ted Dykstra, Lili Taylor, Aaron Douglas, Kandyse McClure, Marty Adams, Demore Barnes, Madeline Brewer","United States","2015-10-23 00:00:00",2015,TV-MA,"TV Horror, TV Mysteries, TV Thrillers","Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",3
"Henry Danger",NULL,"Jace Norman, Cooper Barnes, Riele Downs, Sean Ryan Fox, Ella Anderson, Michael D. Cohen","United States","2021-01-15 00:00:00",2016,TV-G,"Kids' TV, TV Comedies","A new part-time job forces Henry Hart to balance two lives, one as a typical teenager and the other as secret superhero sidekick Kid Danger.",3
"Her Mother's Killer",NULL,"Carolina Gómez, Marlon Moreno, George Slebi, Geraldine Zivic, Andrea Gómez, María Cecilia Botero, Juliana Galvis, Edwin Maya, Alejandro Gutiérrez, Viviana Santos, Michelle Manterola, Juan Alfonso Baptista, Carolina Cuervo, Santiago Felipe Gomez, Matias Maldonado, Kristina Lilley, Mauricio Figueroa, Ana Wills, Juan Manuel Diaz, Ricardo Mejia, Orlando Valenzuela, Ana-María Sánchez, Julieta Villar",Colombia,"2020-08-26 00:00:00",2020,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas","Nearly 30 years after her mom's murder, a political strategist launches a calculated plan to ruin the Colombian presidential candidate who killed her.",1
"Here to Heart",NULL,"Janine Chun-Ning Chang, Hans Zhang",China,"2018-10-23 00:00:00",2018,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","Wen Nuan signs on to work as the executive assistant to ex Zhan Nanxian at his tech firm. Helping him at work just may lead her back into his heart.",1
"HERO MASK",NULL,"Yasuyuki Kase, Yuhko Kaida, Junpei Morita, Kentaro Takano, Kouki Uchiyama, Yutaka Aoyama, Takayuki Sugo, Yutaka Nakano, Haruka Shibuya, Tomoyuki Shimura, Yuichi Karasuma, Yukiyo Fujii, Fuminori Komatsu, Tomoko Miyadera",NULL,"2019-08-23 00:00:00",2019,TV-14,"Anime Series, Crime TV Shows, International TV Shows","After a rash of mysterious deaths, Crown prosecutor Sarah Sinclair and SSC agent James Blood discover a conspiracy surrounding uncanny new bio-masks.",2
"Herrens veje",NULL,"Lars Mikkelsen, Ann Eleonora Jorgensen, Simon Sears, Morten Hee Andersen, Fanny Bernth, Joen Højerslev, Camilla Lau, Maj-Britt Mathiesen, Solbjørg Højfeldt, Johanne Dal-Lewkovitch",Denmark,"2019-06-01 00:00:00",2018,TV-MA,"International TV Shows, TV Dramas","A family with a storied history of service to the Church of Denmark fractures under the tyrannical rule and ambition of its hard-driving patriarch.",2
"Hi Bye, Mama!",NULL,"Kim Tae-hee, Lee Kyoo-hyung, Go Bo-gyeol, Shin Dong-mi, Seo Woo-jin, Lee Si-woo, Oh Eui-sik, Ahn Nae-sang, Kim Mee-kyeong, Park Su-young, Kim Mi-su, Yoon Sa-bong","South Korea","2020-02-23 00:00:00",2020,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",1
"Hi Score Girl",NULL,"Kohei Amasaki, Sayumi Suzushiro, Yuuki Hirose, Kazuyuki Okitsu, Daiki Yamashita, Daria Midou, Satomi Arai, Shizuka Ito, Cho, Chinatsu Akasaki, Tomokazu Sugita, Yuichi Nakamura, Kana Ueda, Taketora, Hochu Otsuka, Hiroki Yasumoto",Japan,"2020-04-09 00:00:00",2019,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","A chronic gamer abysmally inept in academics and sports finally meets his match at his usual shady arcade – and it’s his rich classmate, Akira.",2
"Hibana: Spark",NULL,"Kento Hayashi, Kazuki Namioka, Mugi Kadowaki, Masao Yoshii, Hideaki Murata, Nahana, Sayaka Yamamoto, Shota Sometani, Tomorowo Taguchi, Kaoru Kobayashi",Japan,"2016-06-02 00:00:00",2016,TV-MA,"International TV Shows, TV Dramas","A dramatic series about friendship and conflict between two comedians who search for meaning in life and comedy. Based on the prize-winning book.",1
"Hidden Singer",NULL,"Hyun-moo Jun, Solbi, Dong-hyuk Jang, Young-hoon Joo","South Korea","2017-05-19 00:00:00",2015,TV-Y7,"International TV Shows, Korean TV Shows, Reality TV","Pop stars and impersonators face off to be the last one standing as the audience tries to determine the real singer by listening to their voices only.",1
"Hidden Worlds",NULL,"Adel Imam, Salah Abdallah, Hiba Majdi, Bushra, Fathy Abdel Wehab, Rania Farid Shawki, Ahmad Wafiq",Egypt,"2019-02-05 00:00:00",2018,TV-14,"Crime TV Shows, International TV Shows, TV Dramas","While investigating an actress’s supposed suicide and her connection to the mafia, a veteran journalist discovers that corruption runs deep.",1
"High Risk",NULL,NULL,"United States","2017-09-01 00:00:00",1988,TV-PG,"Docuseries, Reality TV","From scientists to snake handlers, this series explores what motivates some people to put themselves in jeopardy to perform extraordinary feats.",1
"High Score",NULL,NULL,"United States","2020-08-19 00:00:00",2020,TV-14,"Docuseries, Science & Nature TV","This docuseries traces the history of classic video games, featuring insights from the innovators who brought these worlds and characters to life.",1
"High Seas",NULL,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín, Chiqui Fernández, Tamar Novas, Daniel Lundh, Manuela Vellés, Natalia Rodríguez, Laura Prats, Ignacio Montes, Begoña Vargas, Luis Bermejo, Pepe Ocio, Ben Temple, Félix Gómez, Antonio Durán 'Morris', Eduardo Blanco, José Sacristán",Spain,"2020-08-07 00:00:00",2020,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.",3
"Highland: Thailand's Marijuana Awakening",NULL,"Sebastian Perry",Thailand,"2017-05-19 00:00:00",2017,TV-MA,"Docuseries, International TV Shows","Thailand's complicated history with marijuana continues to play a role in its policies and laws, as well as the health and security of its citizens.",1
"Highway Thru Hell",NULL,"Dave Pettitt, Jamie Davis, Adam Gazzola, Kevin Ritchie",Canada,"2019-12-03 00:00:00",2016,TV-PG,"Reality TV","On the hazardous highways of Canada's interior, heavy vehicle towing companies experience hardship and triumph rescuing wrecked and stranded trucks.",3
"Highway to Heaven",NULL,"Michael Landon, Victor French","United States","2016-11-01 00:00:00",1988,TV-PG,"TV Dramas","Under God's direction, angel Jonathan and ex-cop Mark help troubled souls overcome adversity and embrace honesty, kindness and forgiveness.",5
Hilda,NULL,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","United Kingdom, Canada, United States","2020-12-14 00:00:00",2021,TV-Y7,"Kids' TV","Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.",2
Hinterland,NULL,"Richard Harrington, Mali Harries, Hannah Daniel, Alex Harries, Aneirin Hughes, Daniel Rochford","United Kingdom","2017-08-01 00:00:00",2016,TV-14,"British TV Shows, Crime TV Shows, International TV Shows","Forsaking London for the rustic landscapes of Wales, a police detective with a troubled soul finds himself in a place with secrets as dark as his own.",3
"Hip-Hop Evolution",NULL,"Shad Kabango",Canada,"2020-01-17 00:00:00",2020,TV-MA,"Docuseries, International TV Shows","Interviews with influential MCs, DJs and moguls trace the genre's dynamic evolution from the 1970s through the 1990s in this documentary series.",4
"Historia de un clan",NULL,"Alejandro Awada, Cecilia Roth, Chino Darín, Nazareno Casero, Tristán, Gustavo Garzón, Pablo Cedrón, María Soldi, Rita Pauls, Victoria Almeida, Benjamín Alfonso",Argentina,"2017-01-13 00:00:00",2015,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","This drama based on a true story follows the Puccios, a criminal family who kidnaps wealthy people and holds them hostage in their home.",1
"Historical Roasts",NULL,"Jeff Ross, Bob Saget, James Adomian, Rachel Feinstein, Jerry Minor, Ayden Mayeri, Jaleel White, Natasha Leggero, Yamaneika Saunders, John Stamos, Nikki Glaser, Seth Green, Fortune Feimster, Jon Lovitz, Mindy Rickles, Gilbert Gottfried, Sasheer Zamata, Brandon T. Jackson, Ryan Phillippe, Ken Marino, Bridget Everett, John Gemberling, Leonardo Nam, Josh Homme","United States","2019-05-27 00:00:00",2019,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",""Roastmaster General" Jeff Ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world.",1
"History 101",NULL,NULL,"United Kingdom","2020-05-22 00:00:00",2020,TV-14,"British TV Shows, Docuseries, International TV Shows","Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries.",1
"History of Swear Words",NULL,"Nicolas Cage","United States","2021-01-05 00:00:00",2021,TV-MA,"Docuseries, TV Comedies","Nicolas Cage hosts this proudly profane, funny and engagingly educational series about the history and impact of the most notorious English swear words.",1
"History's Greatest Hoaxes",NULL,NULL,Australia,"2019-07-12 00:00:00",2016,TV-PG,"British TV Shows, Docuseries","Using previously unseen footage, this documentary series offers new insights into some of the biggest scams and forgeries in human history.",1
"Hitler's Circle of Evil",NULL,"Alisdair Simpson, Henrik Jørgensen, James Lowe, Blake Scott, Peter Turnbull","United Kingdom","2018-02-22 00:00:00",2017,TV-14,"British TV Shows, Docuseries, International TV Shows","Surviving power struggles, betrayals and plots, Hitler's inner circle of Nazi leaders seizes control of Germany and designs its disastrous future.",1
Hjørdis,"Lars Kaalund","Lise Baastrup, Martin Brygmann, Ellen Hillingsø, Nicky Andersen, Nicoline Sharma Rubow, Jasmin Bart-Williams, William Rützou, Marius Due, Robert Hansen",Denmark,"2019-02-15 00:00:00",2015,TV-MA,"International TV Shows, TV Comedies, TV Dramas","This miniseries spinoff of "Rita" follows teacher Hjørdis as she plans a school play on bullying featuring a cast of socially awkward students.",1
Hoarders,NULL,NULL,NULL,"2020-05-02 00:00:00",2019,TV-PG,"Reality TV","This reality series enters the worlds of compulsive hoarders, whose addiction to acquisition overwhelms not just their homes but also their lives.",1
"Hoff the Record","Gordon Anderson","David Hasselhoff, Asim Chaudhry, Fergus Craig, Mark Quartley, Ella Smith, Brett Goldstein","United Kingdom","2017-03-31 00:00:00",2016,TV-MA,"British TV Shows, TV Comedies","TV star David Hasselhoff hopes to reboot his career in the U.K., but both his comeback plans and his personal life keep going off the rails.",2
"Hogie the Globehopper",NULL,"Mae Elliessa","United States","2017-08-01 00:00:00",2016,TV-Y,"Kids' TV","Hogie and his friends travel the world, exploring far-flung locales like Buenos Aires, Cairo, Hawaii and the Galapagos Islands.",1
"Holiday Home Makeover with Mr. Christmas",NULL,"Benjamin Bradley","United States","2020-11-18 00:00:00",2020,TV-G,"Reality TV","Interior designer Benjamin “Mr. Christmas” Bradley works with a trusty team of "elves” to help families transform their homes for the holidays.",1
"Holiday Secrets",NULL,"Corinna Harfouch, Christiane Paul, Svenja Jung, Leonie Benesch, Anita Vulesica, Barbara Nüsse, Hans-Uwe Bauer, Lorna zu Solms, Tilda Jenkins, Emilie Neumeister, Golo Euler, Dennis Herrmann, Maik Solbach, Merlin Rose",Germany,"2019-11-20 00:00:00",2019,TV-MA,"International TV Shows, TV Dramas","A Christmas reunion becomes a gateway to the past in this three-part series that explores the intimate complexities of one family's history.",1
Hollywood,NULL,"David Corenswet, Darren Criss, Patti LuPone, Jeremy Pope, Jim Parsons, Laura Harrier, Joe Mantello, Dylan McDermott, Jake Picking, Holland Taylor, Samara Weaving","United States","2020-05-01 00:00:00",2020,TV-MA,"TV Dramas","In post-World War II Hollywood, an ambitious group of aspiring actors and filmmakers will do almost anything to make their showbiz dreams come true.",1
"Home for Christmas",NULL,"Ida Elise Broch, Gabrielle Susanne Solheim Leithaug, Dennis Storhøi, Anette Hoff, Felix Sandman, Ghita Nørby, Hege Schøyen, Bjørn Skagestad, Mads Sjøgård Pettersen",Norway,"2020-12-18 00:00:00",2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies","Tired of the constant comments on her relationship status, perpetually single Johanne starts a 24-day hunt for a boyfriend to bring home for Christmas.",2
"Home Game",NULL,NULL,"United States","2020-06-26 00:00:00",2020,TV-MA,Docuseries,"This docuseries profiles unique and dangerous traditional sports from around the world, as well as the communities and cultures where they thrive.",1
"Home: Adventures with Tip & Oh",NULL,"Rachel Crow, Mark Whitten, Ana Ortiz, Ron Funches, Matt Jones, Nolan North","United States","2018-07-20 00:00:00",2018,TV-Y7,"Kids' TV, TV Comedies","A misfit alien named Oh moves in with Tip and her family, in a series that picks up the dynamic duo's adventures where the hit film left off.",4
Homemade,NULL,NULL,"Chile, Italy","2020-06-30 00:00:00",2020,TV-MA,"International TV Shows, TV Dramas","Acclaimed filmmakers from around the world channel their creativity during COVID-19 isolation with this diverse, genre-spanning collection of short films.",1
"Hong Kong West Side Stories",NULL,"Louis Cheung, Myolie Wu, Justin Cheung, Brian Chan, Raymond Chiu, Fish Liew, Lee Sheung Ching, Kaki Sham, Gregory Wong, Thor Lok","Hong Kong","2019-04-30 00:00:00",2018,TV-MA,"International TV Shows, TV Comedies, TV Dramas","The intimate lives of young men and women from Hong Kong are linked by loosely connected stories about love, lust, separation and deceit.",1
Hoops,NULL,"Jake Johnson, Ron Funches, Cleo King, Natasha Leggero, A.D. Miles, Rob Riggle, Steve Berg, Eric Edelstein, Ben Hoffman, Mary Holland, Gil Ozeri, Sam Richardson, Nick Swardson","United States","2020-08-21 00:00:00",2020,TV-MA,"TV Comedies","A foul-mouthed high school basketball coach is sure he'll hit the big leagues if he can only turn his terrible team around. Good luck with that.",1
Hormones,NULL,"Pachara Chirathivat, Ungsumalynn Sirapatsakmetha, Sutatta Udomsilp, Chutavuth Pattarakampol, Sirachuch Chienthaworn, Gunn Junhavat, Sananthachat Thanapatpisal, Thanapob Leeratanakajorn, Supassra Thanachat, Sedthawut Anusit, Kemisara Paladesh",Thailand,"2018-06-30 00:00:00",2015,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas","High school students in Bangkok wrestle with issues such as sex, teen pregnancy, drugs, school violence, family turmoil and more in this Thai drama.",3
"Horrid Henry",NULL,"Lizzie Waterworth, Joanna Ruiz, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Stephanie Anne Mills, David Holt","United Kingdom","2019-01-11 00:00:00",2019,TV-Y7,"British TV Shows, Kids' TV, TV Comedies","To his family's frustration, Henry is skilled at making trouble, from babysitting pets in his bedroom to starting a shark panic at the swimming pool.",2
"Horror Homes",NULL,"Jill Halfpenny","United Kingdom","2019-10-02 00:00:00",2016,TV-14,"British TV Shows, Docuseries, International TV Shows","Dream homes turn into property nightmares when mold, maggots, natural disasters and other inconveniences move in.",1
"Hospital Playlist",NULL,"Cho Jung-seok, Yoo Yeon-seok, Jung Kyung-ho, Kim Dae-myeong, Jeon Mi-do, Kim Hae-suk, Kim Kap-soo, Jung Moon-sung","South Korea","2020-03-12 00:00:00",2020,TV-MA,"International TV Shows, Korean TV Shows, TV Comedies","Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",1
"Hot Date",NULL,"Emily Axford, Brian Murphy","United States","2018-10-01 00:00:00",2018,TV-MA,"Romantic TV Shows, TV Comedies","Interconnected sketches and performances skewer the madness and misunderstandings of modern relationships.",1
"Hot Girls Wanted: Turned On","Jill Bauer, Ronna Gradus, Rashida Jones",NULL,"United States","2017-04-21 00:00:00",2017,TV-MA,Docuseries,"Personal stories reveal how the intersection of sex, technology and intimate relationships is rewiring us in fundamental ways.",1
"Hotel Beau Séjour",NULL,"Lynn Van Royen, Inge Paulussen, Jan Hammenecker, Kris Cuppens, Johan van Assche, Katrin Lohmann, Mieke De Groote, Roel Vanderstukken, Joren Seldeslachts, Joke Emmers, Charlotte Timmers, Guus Bullen, Tiny Bertels, Reinhilde Decleir, Barbara Sarafian",Belgium,"2017-03-16 00:00:00",2017,TV-14,"Crime TV Shows, International TV Shows, TV Dramas","Caught in an afterlife limbo, teenage Kato investigates her own mysterious death and unravels a web of secrets in her seemingly tranquil village.",1
"Hotel Transylvania",NULL,"Bryn McAuley, Evany Rosen, Gage Munroe, Joseph Motiki, Dan Chameroy, David Berni, John McGrath","United States, Canada","2018-06-26 00:00:00",2017,TV-Y7,"Kids' TV, TV Comedies","With her dad away, Mavis is so ready for adventure – if strict Aunt Lydia doesn't stop her first. Set four years before the "Hotel Transylvania" film.",1
