title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_in_minutes
"Calico Critters: The Treasure of Calico Village","Momoko Kamiya",NULL,NULL,"2018-11-01 00:00:00",2017,TV-Y,"Children & Family Movies","Freya and her friends inspire the mayor to put on a competition at the fete to pick the loveliest thing in Sylvanian Village.",22
"Calum von Moger: Unbroken","Vlad Yudin","Calum Von Moger","United States","2019-08-13 00:00:00",2019,TV-MA,"Documentaries, Sports Movies","Bodybuilder and two-time Mr. Universe, Calum von Moger, reflects on his rise to fame and battle to come back from a debilitating injury.",93
Cam,"Daniel Goldhaber","Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid, Imani Hakim, Michael Dempsey, Flora Diaz, Samantha Robinson, Jessica Parker Kennedy, Quei Tann","United States","2018-11-16 00:00:00",2018,TV-MA,"Horror Movies, Independent Movies, Thrillers","After a look-alike takes over her account, a cam girl with a growing fan base sets out to identify the mysterious culprit and reclaim her own identity.",95
"Camarón: The Film","Alexis Morante","Juan Diego",Spain,"2018-07-18 00:00:00",2018,TV-14,"Documentaries, International Movies, Music & Musicals","This documentary looks back on the life of legendary flamenco singer Camarón, who went from humble roots to rock star status to a tragic early death.",105
"Camera Store","Scott Marshall Smith","John Larroquette, John Rhys-Davies, Paul Ben-Victor, David James Elliott, Laura Silverman, Cheryl Ladd, Justin Lieberman, Maddie McCormick","United States","2017-08-20 00:00:00",2016,TV-MA,"Comedies, Dramas","With the digital revolution just around the corner, the employees of Bibideaux camera store strive to stay relevant amid unstoppable change.",104
"Camp Cool Kids","Lisa Arnold","Connor Rosen, Logan Shroyer, Michael Gross, Markie Post, Leigh-Allyn Baker, Juliocesar Chavez, Tyree Brown","United States","2018-01-01 00:00:00",2017,TV-G,"Children & Family Movies, Comedies, Dramas","A young boy attends summer camp, where he overcomes his fears, stands up to bullies and learns important lessons about faith and life.",104
"Camp X-Ray","Peter Sattler","Kristen Stewart, Peyman Moaadi, John Carroll Lynch, Lane Garrison, Joseph Julian Soria, Ser'Darius Blain, Cory Michael Smith, Julia Duffy","United States","2017-01-14 00:00:00",2014,R,"Dramas, Independent Movies","Fresh Army recruit Amy Cole is assigned to Guantanamo Bay's Camp X-Ray, where she forms a surprising bond with one of the prisoners in her charge.",117
"Can't Hardly Wait","Harry Elfont, Deborah Kaplan","Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo, Lauren Ambrose, Peter Facinelli, Seth Green, Michelle Brookhurst, Alexander Martin, Erik Palladino, Channon Roe, Sean Patrick Thomas","United States","2021-01-01 00:00:00",1998,PG-13,"Comedies, Romantic Movies","At a wild high school graduation party, aspiring writer Preston hopes to declare his love to popular girl Amanda, who just got dumped by the class jock.",101
"Can't Help Falling in Love","Mae Czarina Cruz","Kathryn Bernardo, Daniel Padilla, Matteo Guidicelli, Zanjoe Marudo, Cherry Pie Picache, Lotlot De Leon, Dennis Padilla, Lito Pimentel, Joross Gamboa, Janus del Prado",Philippines,"2019-02-27 00:00:00",2017,TV-14,"Comedies, Dramas, International Movies","Gab is eager to tie the knot with her handsome boyfriend, but there's a problem, and it's a doozy: She's already married to a total stranger.",120
"Can’t Complain","Ahmed Nader Galal","Ahmed Helmy, Menna Shalaby, Khaled El Sawy, Lotfy Labib",Egypt,"2020-06-03 00:00:00",2007,TV-MA,"Comedies, International Movies, Romantic Movies","Raised by a father to fraudulently act as one person, three identical brothers end up pining for the same woman as one triplet seeks psychiatric help.",114
"Candy Jar","Ben Shelton","Christina Hendricks, Helen Hunt, Uzo Aduba, Sami Gayle, Jacob Latimore","United States","2018-04-27 00:00:00",2018,TV-14,"Children & Family Movies, Dramas, Romantic Movies","Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.",93
Candyflip,"Shanawaz Nellikunnil","Prashant Prakash, Kalki Koechlin, Prakash Raj, Gulshan Devaiah, Valeriya Polyanychko",India,"2019-02-15 00:00:00",2017,TV-MA,"Dramas, Independent Movies, International Movies","On the incandescent shores of Goa, a young man tumbles down a mind-bending – and soon dangerous – series of trips after taking hallucinatory drugs.",104
Candyman,"Bernard Rose","Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams, DeJuan Guy, Michael Culkin, Stanley DeSantis","United States, United Kingdom","2019-10-01 00:00:00",1992,R,"Cult Movies, Horror Movies","Grad student Helen Lyle unintentionally summons the Candyman, a hook-handed creature made flesh by other people's belief in him.",99
Canvas,"Frank E. Abney III",NULL,"United States","2020-12-11 00:00:00",2020,G,"Children & Family Movies, Dramas","After a heartbreaking loss, a grandfather struggling to reclaim his passion for painting finds the inspiration to create again.",9
"Capital in the Twenty-First Century","Justin Pemberton",NULL,"France, New Zealand","2020-09-08 00:00:00",2019,TV-14,Documentaries,"Based on economist Thomas Piketty's best-selling book, this documentary examines wealth accumulation and its looming social repercussions.",103
Cappuccino,Noushad,"Dharmajan Bolgatty, Aneesh Menon, Sunil Sukhada, Anita Lukmance, Kottayam Pradeep, Natasha Doshi, Hareesh Perumanna, Sharanya, Vineeth Mohan, Sudhi Koppa",India,"2018-07-01 00:00:00",2017,TV-PG,"Comedies, Dramas, International Movies","Richi is a director of commercials whose computer memory drive is accidentally switched with that of Sneha, a woman he soon falls in love with.",126
"Captain Underpants Epic Choice-o-Rama",NULL,"Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Jorge Diaz, Todd Grimes, Peter Hastings, Evan Kishiyama, David Koechner, Phil LaMarr, Erica Luttrell, Patty Mattson, Brennan Murray, Nolan North","United States","2020-02-11 00:00:00",2020,TV-Y7,"Children & Family Movies, Comedies","In this interactive special, Harold and George need your decision-making skills to stop Krupp from blowing their beloved treehouse to smithereens.",81
"Captain Underpants Mega Blissmas","Erik Kling, Kevin Peaty","Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Jim Cummings, Jorge Diaz","United States","2020-12-04 00:00:00",2020,TV-Y7,"Children & Family Movies, Comedies","Christmas gets weird — really weird — after George and Harold go back in time to change up a few of their beloved holiday's traditions.",46
Carbon,"Olivier Marchal","Benoît Magimel, Gringe, Idir Chender, Laura Smet, Michaël Youn, Dani, Patrick Catalifo, Gérard Depardieu","France, Belgium","2018-09-01 00:00:00",2017,TV-MA,"Dramas, International Movies, Thrillers","On the verge of losing his business, an entrepreneur launches a carbon tax scam that thrusts him into a web of criminals, intrigue and murder.",104
"Cardboard Gangsters","Mark O'Connor","John Connors, Fionn Walton, Kierston Wareing, Paul Alwright, Ryan Lincoln, Jimmy Smallhorne, Toni O'Rourke, Fionna Hewitt-Twamley, Stephen Clinch, Ciaran McCabe",Ireland,"2018-09-15 00:00:00",2016,TV-MA,"Dramas, International Movies","A low-level drug dealer decides to move up the ranks of the illegal narcotics trade in Darndale, Dublin, putting him and his gang on a violent path.",92
"Care of Kancharapalem","Maha Venkatesh","Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri",India,"2019-09-06 00:00:00",2018,TV-14,"Comedies, Dramas, Independent Movies","From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",142
Caregiver,"Chito S. Roño","Sharon Cuneta, John Estrada, John Manalo, Rica Peralejo, Jhong Hilario, Saul Reichlin, Matthew Rutherford, Claire Jeater, Makisig Morales, Mickey Ferriols",Philippines,"2019-03-05 00:00:00",2008,TV-14,"Dramas, International Movies","Sarah leaves her son in the Philippines to reunite with her husband in London, where she struggles personally and professionally as a care-home worker.",131
Cargo,"Arati Kadav","Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma, Biswapati Sarkar, Ritwik Bhaumik, Prabal Panjabi, Hansal Mehta",India,"2020-09-09 00:00:00",2020,TV-14,"Comedies, Dramas, Independent Movies","Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant.",113
"Carlos Almaraz: Playing with Fire","Elsa Flores Almaraz, Richard J Montoya","Edward James Olmos, Zach De La Rocha","United States","2020-10-01 00:00:00",2019,TV-14,"Documentaries, LGBTQ Movies","Mixing archival footage with interviews, this film celebrates one of Los Angeles's most influential painters and Chicano art activists from the 1970s.",83
"Carlos Ballarta: El amor es de putos","Jan Suter, Raúl Campos Delgado","Carlos Ballarta",Mexico,"2016-11-21 00:00:00",2016,TV-MA,"Stand-Up Comedy","Carlos Ballarta mocks daily life in Mexico, including public transit, the education system and the corn seller who betrays your confidence.",67
"Carlos Ballarta: Furia Ñera","Raúl Campos, Jan Suter","Carlos Ballarta",Mexico,"2018-05-11 00:00:00",2018,TV-MA,"Stand-Up Comedy","Mexican comic Carlos Ballarta mocks himself and points out the absurdities of parenthood and how he uses his wife's pregnancies to avoid commitments.",63
"Carmen Sandiego: To Steal or Not to Steal","Jos Humphrey","Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Liam O'Brien, Mary Elizabeth McGlynn, Toks Olagundoye, Sharon Muthu","Canada, United States","2020-03-10 00:00:00",2020,TV-Y7,"Children & Family Movies","You drive the action in this interactive adventure, helping Carmen save Ivy and Zack when V.I.L.E. captures them during a heist in Shanghai.",82
Carol,"Todd Haynes","Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler, Jake Lacy, John Magaro, Cory Michael Smith, Carrie Brownstein, Kevin Crowley, Nik Pajic","United Kingdom, United States, Australia","2020-10-20 00:00:00",2015,R,"Dramas, LGBTQ Movies, Romantic Movies","In the 1950s, a glamorous married woman and an aspiring photographer embark on a passionate, forbidden romance that will forever change their lives.",119
Carrie,"Brian De Palma","Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North","United States","2019-06-01 00:00:00",1976,R,"Classic Movies, Cult Movies, Horror Movies","An outcast teen with telekinetic ability lashes out with her deadly power when the high school "in crowd" torments her with a sick joke at the prom.",98
"Carrie Pilby","Susan Johnson","Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges","United States","2017-09-05 00:00:00",2016,TV-MA,"Comedies, Dramas","A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",98
Carriers,"Àlex Pastor, David Pastor","Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses","United States","2019-11-20 00:00:00",2009,PG-13,"Horror Movies, Sci-Fi & Fantasy, Thrillers","As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.",85
"Casa de mi Padre","Matt Piedmont","Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez","United States, Mexico","2012-11-14 00:00:00",2012,R,Comedies,"Will Ferrell stars as a Spanish-speaking cowboy in this comedy about a Mexican clan trying to rescue their ranch from greedy creditors.",84
"Casablancas: The Man Who Loved Women","Hubert Woroniecki",NULL,France,"2017-01-13 00:00:00",2016,TV-14,"Documentaries, International Movies","The rise and smash success of Elite modeling agency founder John Casablancas is chronicled in this biography of the man who invented the supermodel.",82
"Case 39","Christian Alvart","Renée Zellweger, Jodelle Ferland, Ian McShane, Bradley Cooper, Callum Keith Rennie, Adrian Lester, Kerry O'Malley, Cynthia Stevenson, Alexander Conti, Philip Cabrita","United States, Canada","2021-01-01 00:00:00",2009,R,"Horror Movies, Thrillers","A naïve social worker brings a 10-year-old child into her home to rescue the girl from abusive parents – only to learn that she isn't what she seems.",111
"Casino Royale","Martin Campbell","Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini","United Kingdom, Czech Republic, United States, Germany, Bahamas","2020-08-31 00:00:00",2006,PG-13,"Action & Adventure","Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table.",145
"Casino Tycoon","Wong Jing","Wong Jing","Hong Kong","2018-08-01 00:00:00",1992,TV-MA,"Action & Adventure, Dramas, International Movies","When Japanese troops invade Hong Kong, young Benny Ho flees to Macau and rises to the top of the city's casino business with pluck, diligence and wit.",125
"Casino Tycoon 2","Wong Jing","Dennis Chan","Hong Kong","2018-08-16 00:00:00",1992,TV-MA,"Action & Adventure, Dramas, International Movies","Casino mogul Benny Ho wields enormous power. But a feud with his former partner and a massive fraud scheme soon threaten his family and his empire.",108
"Casting JonBenet","Kitty Green",NULL,"United States, Australia, China","2017-04-28 00:00:00",2017,TV-14,Documentaries,"Local actors from JonBenet Ramsey's hometown offer multiple perspectives on her 1996 murder as they vie to play roles in a dramatization of the case.",81
"Cat on a Hot Tin Roof","Richard Brooks","Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson, Madeleine Sherwood, Larry Gates, Vaughn Taylor","United States","2019-11-01 00:00:00",1958,NR,"Classic Movies, Dramas","Members of a Southern clan scramble to curry favor with a dying, wealthy patriarch in this adaptation of Tennessee Williams's sizzling stage drama.",108
"Catch Me If You Can","Steven Spielberg","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin","United States, Canada","2021-01-01 00:00:00",2002,PG-13,Dramas,"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.",141
"Catching Feelings","Kagiso Lediga","Kagiso Lediga, Pearl Thusi, Akin Omotoso, Andrew Buckland","South Africa","2018-05-18 00:00:00",2018,TV-MA,"Comedies, International Movies, Romantic Movies","Amid growing tensions in their marriage, a Johannesburg professor and his journalist wife find their lives upended by a famous, hard-partying author.",117
"Catching the Sun","Shalini Kantayya",NULL,"China, Germany, India, United States","2016-04-22 00:00:00",2015,TV-14,Documentaries,"This documentary explores the worldwide economics of the burgeoning solar energy industry and its impact on hopeful job seekers in the United States.",74
Catfight,"Onur Tukel","Sandra Oh, Anne Heche, Alicia Silverstone, Amy Hill, Myra Lucretia Taylor, Ariel Kavoussi, Damian Young, Stephen Gevedon, Giullian Yao Gioiello, Tituss Burgess","United States","2017-06-01 00:00:00",2016,TV-MA,"Comedies, Independent Movies","Two college frenemies whose lives aren't what they hoped meet up decades later and escalate their resentments from verbal jabs to bloody brawls.",96
"Cats & Dogs: The Revenge of Kitty Galore","Brad Peyton","James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka","United States, Australia","2019-02-01 00:00:00",2010,PG,"Children & Family Movies, Comedies","Cats and dogs must set aside their differences and merge animal instincts when Kitty Galore decides to claw her way to global domination.",82
"Catwalk: Tales from the Cat Show Circuit","Aaron Hancox, Michael McNamara",NULL,Canada,"2019-01-07 00:00:00",2018,TV-PG,"Documentaries, International Movies","This fun, charming documentary follows the exploits of some very feline-friendly folks as they strive to get their kitties crowned Canada’s top cat.",75
Cave,"Henrik Martin Dahlsbakken","Heidi Toini, Benjamin Helstad, Mads Sjogard Pettersen, Ingar Helge Gimle",Norway,"2017-06-15 00:00:00",2016,TV-MA,"Action & Adventure, International Movies, Thrillers","Torn between old camaraderie and recent tensions, three ex-soldiers reunite to explore a deadly cave but soon discover terror beyond all expectations.",77
"Cedric the Entertainer: Live from the Ville","Troy Miller","Cedric the Entertainer","United States","2016-09-16 00:00:00",2016,TV-MA,"Stand-Up Comedy","Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and "Honky Tonk Badonkadonk."",60
"Celebrity Marriage","Pascal Amanfo","Kanayo O. Kanayo, Tonto Dikeh, Jackie Appiah, Odunlade Adekola, Toyin Aimakhu, Osita Iheme, Francis Odega, Calista Okoronkwo, Susan Peters, Roselyn Ngissah",NULL,"2019-12-06 00:00:00",2017,TV-PG,"Dramas, International Movies","A successful actress with an abusive husband confides in friends who have troubling relationship issues of their own.",107
"Celluloid Man","Shivendra Singh Dungarpur","P.K. Nair",India,"2017-04-01 00:00:00",2012,TV-PG,"Documentaries, International Movies","This documentary chronicles the philosophy and life's work of archivist P.K. Nair, who made a mission of preserving Indian cinema’s rich history.",156
"Cemara's Family","Yandy Laurens","Ringgo Agus Rahman, Nirina Zubir, Zara JKT48, Widuri Puteri, Ariyo Wahab, Asri Welas, Abdurrahman Arif, Kafin Sulthan",Indonesia,"2020-12-24 00:00:00",2018,TV-G,"Children & Family Movies, Dramas, International Movies","After bankruptcy, Abah and Emak must adapt to a new life with their children in a remote village.",110
"Center Stage","Nicholas Hytner","Amanda Schull, Zoe Saldana, Susan May Pratt, Peter Gallagher, Donna Murphy, Debra Monk, Ethan Stiefel, Sascha Radetsky, Julie Kent, Ilia Kulik","United States","2020-01-01 00:00:00",2000,PG-13,Dramas,"Vying for a spot in the American Ballet Company, 12 dance students are ready to push their bodies and minds to the limit to realize their dreams.",116
Chaahat,"Mahesh Bhatt","Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan",India,"2017-05-01 00:00:00",1996,TV-14,"Dramas, International Movies, Romantic Movies","A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.",148
Chaar Sahibzaade,"Harry Baweja","Om Puri",India,"2018-11-01 00:00:00",2014,TV-PG,"Dramas, Faith & Spirituality, International Movies","With a horde of enemy invaders bearing down, four sons of an illustrious Sikh guru lead a tiny but valiant army into a desperate fight for freedom.",126
"Chadi Jawani Budhe Nu",NULL,Anand,India,"2017-09-01 00:00:00",1976,TV-PG,"Comedies, International Movies, Romantic Movies","After reaching his 40th birthday, an egotistical businessman kicks off his midlife crisis by deciding to secure a mistress.",135
"Chal Bhaag","Prakash Balwant Saini","Deepak Dobriyal, Tarun Bajaj, Keeya Khanna, Varun Mehra, Sanjay Mishra, Yashpal Sharma, Mukesh Tiwari, Atul Srivastava, Manish Khanna, Kunwar Aziz",India,"2018-12-01 00:00:00",2014,TV-14,"Comedies, Dramas, International Movies","Three petty criminals find themselves in a pickle when police wrongly charge them with the murder of an important politician.",110
"Chal Dhar Pakad","Aatmaram Dharne","Nagesh Bhonsle",India,"2018-03-15 00:00:00",2010,TV-14,"Comedies, Dramas, International Movies","After her fat-shaming husband brings home a new lover, a wife in Maharashtra recruits a group of women to challenge him in a kabaddi match.",129
"Chal Mere Bhai","David Dhawan","Sanjay Dutt, Salman Khan, Karisma Kapoor, Dalip Tahil, Sushma Seth, Shakti Kapoor, Nagma, Sonali Bendre, Twinkle Khanna, Ravi Baswani",India,"2019-12-31 00:00:00",2000,TV-14,"Comedies, International Movies, Romantic Movies","When a secretary saves her tycoon boss's life, his family hears wedding bells. Problem is, she's already in love – with his younger brother.",132
"Chalay Thay Saath","Umer Adil","Syra Shehroz, Kent S. Leung, Osama Tahir, Mansha Pasha, Zhalay Sharhadi, Faris Khalid, Behroze Sabzwari, Shamim Hilaly",Pakistan,"2018-05-15 00:00:00",2017,TV-14,"Comedies, Dramas, International Movies","Beautiful and adventurous doctor Resham meets a handsome Chinese backpacker named Adam while traveling with friends on a journey of self-discovery.",118
"Chalte Chalte","Aziz Mirza","Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah, Rajiv Verma, Lillete Dubey, Jayshree T., Johny Lever",India,"2018-07-01 00:00:00",2003,TV-14,"Dramas, International Movies, Romantic Movies","Priya and Raj are polar opposites. Raj is brash and earthy, while Pirya is sophisticated and something of a perfectionist in all she does. They really are like oil and water, but nonetheless, they dare to fall in love.",166
"Chaman Bahaar","Apurva Dhar Badgaiyann","Jitendra Kumar, Ritika Badiani, Yogendra Tikku, Bhuvan Arora, Alam Khan, Dhirendra Tiwari, Ashwani Kumar, Bhagwan Tiwari",India,"2020-06-19 00:00:00",2020,TV-MA,"Comedies, Dramas, International Movies","A local shop becomes a hub for young men taken with the new neighbor. But as business booms, it may leave the equally smitten storeowner heartbroken.",112
Chamatkar,"Rajiv Mehra","Shah Rukh Khan, Naseeruddin Shah, Urmila Matondkar, Malvika Tiwari, Shammi Kapoor, Deven Verma, Tinnu Anand, Anjana Mumtaz, Anjan Srivastav, Rakesh Bedi",India,"2017-05-15 00:00:00",1992,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy","A village schoolteacher and the ghost of a murdered man, who were both betrayed by those closest to them, join forces to help each other.",164
Chameli,"Sudhir Mishra","Kareena Kapoor, Rahul Bose, Rinke Khanna, Yashpal Sharma, Makrand Deshpande, Kabir Sadanand, Pankaj Jha",India,"2019-02-15 00:00:00",2004,TV-14,"Dramas, International Movies","While taking shelter from a Mumbai monsoon, an investment banker forms an unlikely connection with a naïve prostitute over the course of the night.",102
"Chance Pe Dance","Ken Ghosh","Shahid Kapoor, Genelia D'Souza, Mohnish Bahl, Satish Shah, Parikshat Sahni, Vikas Bhalla, Kurush Deboo, Zain Khan",India,"2018-11-01 00:00:00",2010,TV-14,"Comedies, Dramas, International Movies","Having risen from humble beginnings, an ambitious young man sets his sights on winning a major dance competition that could catapult him to fame.",121
"Chandani: The Daughter of the Elephant Whisperer","Arne Birkenstock","K.G. Chandani Renuka Ratnayake","Germany, Sri Lanka","2017-03-01 00:00:00",2010,TV-G,"Documentaries, International Movies","A girl who wants to be an elephant driver like her father is given the chance to raise a calf and becomes even more determined when it's taken away.",87
"Change in the Air","Dianne Dreyer","Mary Beth Hurt, Rachel Brosnahan, Aidan Quinn, Olympia Dukakis, M. Emmet Walsh, Peter Gerety, Macy Gray, Satya Bhabha","United States","2020-03-01 00:00:00",2018,PG,Dramas,"When a secretive woman breezes into a quiet town, her subdued neighbors get swept up in curiosity over her ethereal presence.",95
"Chaotic Love Poems","Garin Nugroho","Chicco Jerikho, Pevita Pearce",Indonesia,"2019-01-05 00:00:00",2016,TV-14,"Dramas, International Movies, Romantic Movies","Spanning the 1970s, ‘80s and ‘90s, this lyrical love story of two childhood neighbors plays out amidst a rapidly evolving Indonesia.",86
Chappaquiddick,"John Curran","Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Olivia Thirlby, Clancy Brown, Taylor Nichols, John Fiore","United States, Sweden","2018-10-01 00:00:00",2017,PG-13,Dramas,"Senator Ted Kennedy watches his future unravel in the wake of an infamous car crash as family and allies vie to protect his reputation.",106
Chappie,"Neill Blomkamp","Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States","2019-01-01 00:00:00",2015,R,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where a robot police force keeps crime at bay, a lone droid gains the power of artificial intelligence.",121
"Charlie and the Chocolate Factory","Tim Burton","Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz","United Kingdom, United States","2020-01-01 00:00:00",2005,PG,"Children & Family Movies, Comedies","The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.",115
"Charlie's Angels",McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson","United States, Germany","2019-10-01 00:00:00",2000,PG-13,"Action & Adventure, Comedies","Three beauties use their looks, charm and martial-arts training to kick butt on the trail of stolen software in this reboot of the classic TV series.",98
"Charlie's Angels: Full Throttle",McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese","United States","2019-10-01 00:00:00",2003,PG-13,"Action & Adventure, Comedies","In this reboot of the TV classic, the Angels are tasked with finding lost rings encoded with the personal information of people in witness protection.",106
"Charlotte's Web","Charles A. Nichols, Iwao Takamoto","Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden","United States","2019-11-23 00:00:00",1973,G,"Children & Family Movies, Classic Movies","Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.",94
Charming,"Ross Venokur","Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui","Canada, United States, Cayman Islands","2021-01-08 00:00:00",2021,TV-Y7,"Children & Family Movies, Comedies","On the eve of his 21st birthday, an adored prince must find his one, true soulmate before a spell takes away all love from his kingdom.",85
"Chashme Baddoor","David Dhawan","Rishi Kapoor, Ali Zafar, Taapsee Pannu, Siddharth, Divyendu Sharma, Anupam Kher, Bharati Achrekar, Lillete Dubey, Ayaz Khan",India,"2020-07-05 00:00:00",2013,TV-14,"Comedies, International Movies, Music & Musicals","When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.",121
"Chashme Buddoor","David Dhawan","Ali Zafar, Siddharth, Divyendu Sharma, Tapsee Pannu, Rishi Kapoor, Anupam Kher, Bharati Achrekar, Varun Dhawan, Lillete Dubey, Ayaz Khan, Ashish Verma",India,"2017-05-01 00:00:00",2013,TV-PG,"Comedies, International Movies, Music & Musicals","When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.",121
"Chasing Amy","Kevin Smith","Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith","United States","2020-01-01 00:00:00",1997,R,"Comedies, Cult Movies, Dramas","Comic book artist Holden meets the perfect woman, only to learn that she's a lesbian. But that doesn't stop him from falling in love with her.",113
"Chasing Coral","Jeff Orlowski",NULL,"United States","2017-07-14 00:00:00",2017,TV-PG,Documentaries,"Divers, scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs.",89
"Chasing the Dragon","Wong Jing, Jason Kwan","Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang","Hong Kong, China","2018-04-19 00:00:00",2017,TV-MA,"Action & Adventure, Dramas, International Movies","In corrupt, British-colonized Hong Kong, a mainland Chinese immigrant rises to the top of the city's drug underworld with the help of a notorious cop.",129
"Chasing Trane","John Scheinfeld","Denzel Washington, Bill Clinton, Ravi Coltrane, Common, Benny Golson, Jimmy Heath, Wynton Marsalis, Sonny Rollins, Carlos Santana, Cornel West","United States","2017-11-13 00:00:00",2016,TV-PG,"Documentaries, Music & Musicals","Featuring interviews, insights and archival footage, this documentary aims to reveal how historical events shaped the music of John Coltrane.",99
"Chatô: The King of Brazil","Guilherme Fontes","Marco Ricca, Andrea Beltrão, Letícia Sabatella, Leandra Leal, Gabriel Braga Nunes, Paulo Betti, Marcos Oliveira, Eliane Giardini",Brazil,"2016-10-01 00:00:00",2015,TV-MA,"Dramas, International Movies","The romanticized life of media mogul Assis Chateaubriand depicts him as the star of a televised trial, where his passions and achievements are judged.",105
